Book Title,Book Author,Book Runtime
Defiance of the Fall 9,"By: TheFirstDefier, JF Brink",Length: 22 hrs and 34 mins
My Dark Romeo,"By: L.J. Shen, Parker S. Huntington",Length: 12 hrs and 29 mins
Magical Midlife Alliance,By: K.F. Breene,Length: 11 hrs and 26 mins
Outlive,"By: Peter Attia MD, Bill Gifford - contributor",Length: 17 hrs and 7 mins
"Poverty, by America",By: Matthew Desmond,Length: 5 hrs and 40 mins
Change Your Brain Every Day,By: Daniel Amen,Length: 15 hrs and 8 mins
Underspire,"By: Jason Anspach, Nick Cole, Walt Robillard",Length: 11 hrs and 22 mins
Does It Hurt?,By: H. D. Carlton,Length: 12 hrs and 7 mins
The Medici Manuscript,By: C.J. Archer,Length: 7 hrs and 59 mins
"Right Man, Right Time",By: Meghan Quinn,Length: 12 hrs and 39 mins
Goal,By: Alexandria House,Length: 6 hrs and 12 mins
Dirty Laundry,"By: Richard Pink, Roxanne Emery",Length: 4 hrs and 2 mins
The Captain,By: Will Wight,Length: 11 hrs and 24 mins
Stolen Youth,"By: Karol Markowicz, Bethany Mandel",Length: 9 hrs and 5 mins
Unbroken: The Trauma Response Is Never Wrong,By: MaryCatherine McDonald PhD,Length: 5 hrs and 32 mins
Flirting with Forever,By: Claire Kingsley,Length: 8 hrs and 56 mins
Murtagh,By: Christopher Paolini,Length: 18 hrs
One for the Ages,By: JD Kirk,Length: 11 hrs and 32 mins
Smolder,By: Laurell K. Hamilton,Length: 11 hrs and 14 mins
Dirty Thirty,By: Janet Evanovich,Length: 8 hrs
